"순서","시군구코드","하천/호수일련번호","하천/호수명_한글","하천/호수명_영문","위도","경도"
"95","11530","19"," "," ","37.4836262","126.8254088"
"117","11110","2"," "," ","37.6166901","126.9786237"
"100","11110","1","테스트"," ","37.5927811","126.9667119"
"103","11230","6","하천"," ","37.5951716","127.0499635"
"105","11215","3"," "," ","37.5557829","127.1115575"
"108","11530","21"," "," ","37.4833486","126.8224437"
"109","11230","3","하천"," ","37.6033706","127.0706227"
"112","11590","9","하천"," ","37.4939453","126.9196014"
"113","11380","6"," "," ","37.6526185","126.9422322"
"115","11500","18"," "," ","37.5843687","126.8169531"
"120","11680","1","탄천"," ","37.4699299","127.1141327"
"185","11680","11"," "," ","37.4770036","127.1054234"
"186","11680","19"," "," ","37.4686151","127.1048388"
"187","11350","23"," "," ","37.6215489","127.0551082"
"188","11215","20"," "," ","37.5406428","127.0783125"
"189","11680","8"," "," ","37.4839449","127.1039067"
"190","11680","13"," "," ","37.4751054","127.1012471"
"191","11680","16"," "," ","37.4691436","127.1047826"
"192","11680","21"," "," ","37.468018","127.1051386"
"155","11320","3"," "," ","37.6876273","127.0355925"
"157","11230","7","하천"," ","37.5914131","127.044348"
"158","11740","15"," "," ","37.5616961","127.136472"
"159","11740","30"," "," ","37.5681964","127.1389417"
"161","11215","9"," "," ","37.5505177","127.077538"
"164","11260","1","태릉천"," ","37.6124895","127.1045485"
"210","11350","18"," "," ","37.6313768","127.106307"
"215","11650","9"," "," ","37.4955214","127.0045928"
"216","11500","13"," "," ","37.5904659","126.8096372"
"218","11740","21"," "," ","37.5478769","127.1366102"
"219","11740","22"," "," ","37.5419785","127.1518739"
"227","11650","10"," "," ","37.4903503","127.0146569"
"232","11500","25"," "," ","37.5689471","126.8454179"
"165","11260","3","중랑천"," ","37.5754463","127.0778991"
"166","11740","2","고덕천"," ","37.5677269","127.1573625"
"167","11740","3","고덕천"," ","37.5672651","127.1647535"
"169","11380","32","불광천"," ","37.5874837","126.9092267"
"171","11380","15"," "," ","37.6506937","126.9466199"
"174","11380","23"," "," ","37.640205","126.9221964"
"176","11590","12","도림천"," ","37.4873428","126.9107386"
"178","11740","8"," "," ","37.565137","127.1517614"
"182","11215","8"," "," ","37.5512511","127.0748902"
"184","11110","3"," "," ","37.6154964","126.9554658"
"193","11215","14"," "," ","37.5423938","127.0810076"
"196","11650","12"," "," ","37.4788052","127.018999"
"197","11500","27"," "," ","37.5681771","126.8474898"
